timestamp,label,workload,threads,tps,p95_latency,avg_latency,total_queries,errors,rc,status,cpu_pct,mem_pct,disk_io_mbps
2026-04-21T04:08:55Z,ce450_standalone_20260421,oltp_read_only,20,493.95,94.10,40.49,2371184,0,0,ok,0.0,0.0,0.00
2026-04-21T04:14:35Z,ce450_standalone_20260421,oltp_read_only,50,967.68,84.47,51.67,4645520,0,0,ok,0.0,0.0,0.00
2026-04-21T04:20:15Z,ce450_standalone_20260421,oltp_read_only,100,1117.03,116.80,89.51,5362832,0,0,ok,0.0,0.0,0.00
2026-04-21T04:25:55Z,ce450_standalone_20260421,oltp_read_only,200,1183.66,200.47,168.94,5683648,0,0,ok,0.0,0.0,0.00
2026-04-21T04:31:35Z,ce450_standalone_20260421,oltp_read_write,20,609.46,47.47,32.76,3666340,0,0,ok,0.0,0.0,0.00
2026-04-21T04:37:16Z,ce450_standalone_20260421,oltp_read_write,50,804.23,99.33,62.16,4826720,0,0,ok,0.0,0.0,0.00
2026-04-21T04:42:56Z,ce450_standalone_20260421,oltp_read_write,100,759.27,227.40,131.49,4564060,0,0,ok,0.0,0.0,0.00
2026-04-21T04:48:37Z,ce450_standalone_20260421,oltp_read_write,200,667.71,569.67,299.41,4009700,0,0,ok,0.0,0.0,0.00
